"english_title";"german_title";"year";"rated";"released";"genre";"director";"writer";"type";"imdb_rating";"tag";"website"
"Fantastic Beasts and Where to Find Them";"Phantastische Tierwesen und wo sie zu finden sind";"2016";"PG-13";"18 Nov 2016";"Adventure, Family, Fantasy";"David Yates";"J.K. Rowling";"movie";"7.2";"Phantastische Tierwesen, Fantastic Beasts";"N/A"
"Fantastic Beasts: The Crimes of Grindelwald";"Phantastische Tierwesen: Grindelwalds Verbrechen";"2018";"PG-13";"16 Nov 2018";"Adventure, Family, Fantasy";"David Yates";"J.K. Rowling";"movie";"6.5";"Phantastische Tierwesen, Fantastic Beasts";"N/A"
"Fantastic Beasts: The Secrets of Dumbledore";"Phantastische Tierwesen: Dumbledores Geheimnisse";"2022";"PG-13";"15 Apr 2022";"Adventure, Fantasy";"David Yates";"J.K. Rowling, Steve Kloves";"movie";"6.2";"Phantastische Tierwesen, Fantastic Beasts";"N/A"
"The Fast and the Furious";"The Fast and the Furious";"2001";"PG-13";"22 Jun 2001";"Action, Crime, Thriller";"Rob Cohen";"Ken Li, Gary Scott Thompson, Erik Bergquist";"movie";"6.8";"Fast and Furious";"N/A"
"2 Fast 2 Furious";"2 Fast 2 Furious";"2003";"PG-13";"06 Jun 2003";"Action, Crime, Thriller";"John Singleton";"Gary Scott Thompson, Michael Brandt, Derek Haas";"movie";"5.9";"Fast and Furious";"N/A"
"The Fast and the Furious: Tokyo Drift";"The Fast and the Furious: Tokyo Drift";"2006";"PG-13";"16 Jun 2006";"Action, Crime, Thriller";"Justin Lin";"Chris Morgan";"movie";"6.1";"Fast and Furious";"N/A"
"Fast & Furious";"Fast & Furious – Neues Modell. Originalteile";"2009";"PG-13";"03 Apr 2009";"Action, Thriller";"Justin Lin";"Chris Morgan, Gary Scott Thompson";"movie";"6.5";"Fast and Furious";"N/A"
"Fast Five";"Fast & Furious Five";"2011";"PG-13";"29 Apr 2011";"Action, Crime, Thriller";"Justin Lin";"Chris Morgan, Gary Scott Thompson";"movie";"7.3";"Fast and Furious";"N/A"
"Fast & Furious 6";"Fast & Furious 6";"2013";"PG-13";"24 May 2013";"Action, Thriller";"Justin Lin";"Chris Morgan, Gary Scott Thompson";"movie";"7.0";"Fast and Furious";"N/A"
"Furious 7";"Fast & Furious 7";"2015";"PG-13";"03 Apr 2015";"Action, Thriller";"James Wan";"Chris Morgan, Gary Scott Thompson";"movie";"7.1";"Fast and Furious";"N/A"
"The Fate of the Furious";"Fast & Furious 8";"2017";"PG-13";"14 Apr 2017";"Action, Crime, Thriller";"F. Gary Gray";"Gary Scott Thompson, Chris Morgan";"movie";"6.6";"Fast and Furious";"N/A"
"Fast & Furious Presents: Hobbs & Shaw";"Fast & Furious: Hobbs & Shaw";"2019";"PG-13";"02 Aug 2019";"Action, Adventure, Thriller";"David Leitch";"Chris Morgan, Drew Pearce, Gary Scott Thompson";"movie";"6.5";"Fast and Furious";"N/A"
"F9";"Fast & Furious 9";"2021";"PG-13";"25 Jun 2021";"Action, Crime, Thriller";"Justin Lin";"Daniel Casey, Justin Lin, Alfredo Botello";"movie";"5.2";"Fast and Furious";"N/A"
"Fast X";"Fast & Furious 10";"2023";"PG-13";"19 May 2023";"Action, Adventure, Crime";"Louis Leterrier";"Dan Mazeau, Justin Lin, Zach Dean";"movie";"5.7";"Fast and Furious";"N/A"
"Dr. No";"James Bond jagt Dr. No";"1962";"PG";"10 Oct 1962";"Action, Adventure, Thriller";"Terence Young";"Richard Maibaum, Johanna Harwood, Berkely Mather";"movie";"7.2";"James Bond";"N/A"
"From Russia with Love";"Liebesgrüße aus Moskau";"1963";"PG";"27 May 1964";"Action, Adventure, Thriller";"Terence Young";"Richard Maibaum, Johanna Harwood, Ian Fleming";"movie";"7.3";"James Bond";"N/A"
"Goldfinger";"Goldfinger";"1964";"Approved";"09 Jan 1965";"Action, Adventure, Thriller";"Guy Hamilton";"Richard Maibaum, Paul Dehn, Ian Fleming";"movie";"7.7";"James Bond";"N/A"
"Thunderball";"Feuerball";"1965";"Approved";"22 Dec 1965";"Action, Adventure, Thriller";"Terence Young";"Richard Maibaum, John Hopkins, Jack Whittingham";"movie";"6.9";"James Bond";"N/A"
"You Only Live Twice";"Man lebt nur zweimal";"1967";"PG";"13 Jun 1967";"Action, Adventure, Thriller";"Lewis Gilbert";"Harold Jack Bloom, Roald Dahl, Ian Fleming";"movie";"6.8";"James Bond";"N/A"
"On Her Majesty’s Secret Service";"Im Geheimdienst Ihrer Majestät";"1969";"PG";"19 Dec 1969";"Action, Adventure, Thriller";"Peter R. Hunt";"Simon Raven, Richard Maibaum, Ian Fleming";"movie";"6.7";"James Bond";"N/A"
"Diamonds Are Forever";"Diamantenfieber";"1971";"PG";"17 Dec 1971";"Action, Adventure, Thriller";"Guy Hamilton";"Richard Maibaum, Tom Mankiewicz, Ian Fleming";"movie";"6.5";"James Bond";"N/A"
"Live and Let Die";"Leben und sterben lassen";"1973";"PG";"27 Jun 1973";"Action, Adventure, Thriller";"Guy Hamilton";"Tom Mankiewicz, Ian Fleming";"movie";"6.7";"James Bond";"N/A"
