english_title;german_title;rated;released;genre;director;writer;type;imdb_rating;tag
Harry Potter and the Order of the Phoenix;Harry Potter und der Orden des Phönix;PG-13;2007;Action, Adventure, Family;David Yates;Michael Goldenberg, J.K. Rowling;movie;7.5;Harry Potter
Harry Potter and the Half-Blood Prince;Harry Potter und der Halbblutprinz;PG;2009;Action, Adventure, Family;David Yates;Steve Kloves, J.K. Rowling;movie;7.6;Harry Potter
Harry Potter and the Deathly Hallows: Part 1;Harry Potter und die Heiligtümer des Todes: Teil 1;PG-13;2010;Adventure, Family, Fantasy;David Yates;Steve Kloves, J.K. Rowling;movie;7.7;Harry Potter
Harry Potter and the Deathly Hallows: Part 2;Harry Potter und die Heiligtümer des Todes: Teil 2;PG-13;2011;Adventure, Family, Fantasy;David Yates;Steve Kloves, J.K. Rowling;movie;8.1;Harry Potter
Fantastic Beasts and Where to Find Them;Phantastische Tierwesen und wo sie zu finden sind;PG-13;2016;Adventure, Family, Fantasy;David Yates;J.K. Rowling;movie;7.2;Phantastische Tierwesen, Fantastic Beasts
Fantastic Beasts: The Crimes of Grindelwald;Phantastische Tierwesen: Grindelwalds Verbrechen;PG-13;2018;Adventure, Family, Fantasy;David Yates;J.K. Rowling;movie;6.5;Phantastische Tierwesen, Fantastic Beasts
Fantastic Beasts: The Secrets of Dumbledore;Phantastische Tierwesen: Dumbledores Geheimnisse;PG-13;2022;Adventure, Fantasy;David Yates;J.K. Rowling, Steve Kloves;movie;6.2;Phantastische Tierwesen, Fantastic Beasts
The Fast and the Furious;The Fast and the Furious;PG-13;2001;Action, Crime, Thriller;Rob Cohen;Ken Li, Gary Scott Thompson, Erik Bergquist;movie;6.8;Fast and Furious
2 Fast 2 Furious;2 Fast 2 Furious;PG-13;2003;Action, Crime, Thriller;John Singleton;Gary Scott Thompson, Michael Brandt, Derek Haas;movie;5.9;Fast and Furious
The Fast and the Furious: Tokyo Drift;The Fast and the Furious: Tokyo Drift;PG-13;2006;Action, Crime, Thriller;Justin Lin;Chris Morgan;movie;6.1;Fast and Furious
Fast & Furious;Fast & Furious – Neues Modell. Originalteile;PG-13;2009;Action, Thriller;Justin Lin;Chris Morgan, Gary Scott Thompson;movie;6.5;Fast and Furious
Fast Five;Fast & Furious Five;PG-13;2011;Action, Crime, Thriller;Justin Lin;Chris Morgan, Gary Scott Thompson;movie;7.3;Fast and Furious
Fast & Furious 6;Fast & Furious 6;PG-13;2013;Action, Thriller;Justin Lin;Chris Morgan, Gary Scott Thompson;movie;7.0;Fast and Furious
Furious 7;Fast & Furious 7;PG-13;2015;Action, Thriller;James Wan;Chris Morgan, Gary Scott Thompson;movie;7.1;Fast and Furious
The Fate of the Furious;Fast & Furious 8;PG-13;2017;Action, Crime, Thriller;F. Gary Gray;Gary Scott Thompson, Chris Morgan;movie;6.6;Fast and Furious
Fast & Furious Presents: Hobbs & Shaw;Fast & Furious: Hobbs & Shaw;PG-13;2019;Action, Adventure, Thriller;David Leitch;Chris Morgan, Drew Pearce, Gary Scott Thompson;movie;6.5;Fast and Furious
F9;Fast & Furious 9;PG-13;2021;Action, Crime, Thriller;Justin Lin;Daniel Casey, Justin Lin, Alfredo Botello;movie;5.2;Fast and Furious
Fast X;Fast & Furious 10;PG-13;2023;Action, Adventure, Crime;Louis Leterrier;Dan Mazeau, Justin Lin, Zach Dean;movie;5.7;Fast and Furious
Dr. No;James Bond jagt Dr. No;PG;1962;Action, Adventure, Thriller;Terence Young;Richard Maibaum, Johanna Harwood, Berkely Mather;movie;7.2;James Bond
From Russia with Love;Liebesgrüße aus Moskau;PG;1964;Action, Adventure, Thriller;Terence Young;Richard Maibaum, Johanna Harwood, Ian Fleming;movie;7.3;James Bond
Goldfinger;Goldfinger;Approved;1965;Action, Adventure, Thriller;Guy Hamilton;Richard Maibaum, Paul Dehn, Ian Fleming;movie;7.7;James Bond
Thunderball;Feuerball;Approved;1965;Action, Adventure, Thriller;Terence Young;Richard Maibaum, John Hopkins, Jack Whittingham;movie;6.9;James Bond
You Only Live Twice;Man lebt nur zweimal;PG;1967;Action, Adventure, Thriller;Lewis Gilbert;Harold Jack Bloom, Roald Dahl, Ian Fleming;movie;6.8;James Bond
On Her Majesty’s Secret Service;Im Geheimdienst Ihrer Majestät;PG;1969;Action, Adventure, Thriller;Peter R. Hunt;Simon Raven, Richard Maibaum, Ian Fleming;movie;6.7;James Bond
Diamonds Are Forever;Diamantenfieber;PG;1971;Action, Adventure, Thriller;Guy Hamilton;Richard Maibaum, Tom Mankiewicz, Ian Fleming;movie;6.5;James Bond
Live and Let Die;Leben und sterben lassen;PG;1973;Action, Adventure, Thriller;Guy Hamilton;Tom Mankiewicz, Ian Fleming;movie;6.7;James Bond
The Man with the Golden Gun;Der Mann mit dem goldenen Colt;PG;1974;Action, Adventure, Thriller;Guy Hamilton;Richard Maibaum, Tom Mankiewicz, Ian Fleming;movie;6.7;James Bond
The Spy Who Loved Me;Der Spion, der mich liebte;PG;1977;Action, Adventure, Thriller;Lewis Gilbert;Christopher Wood, Richard Maibaum, Ian Fleming;movie;7.0;James Bond
Moonraker;Moonraker – Streng geheim;PG;1979;Action, Adventure, Sci-Fi;Lewis Gilbert;Christopher Wood, Ian Fleming, Gerry Anderson;movie;6.2;James Bond
For Your Eyes Only;In tödlicher Mission;PG;1981;Action, Adventure, Thriller;John Glen;Richard Maibaum, Michael G. Wilson, Ian Fleming;movie;6.7;James Bond
Octopussy;Octopussy;PG;1983;Action, Adventure, Thriller;John Glen;George MacDonald Fraser, Richard Maibaum, Michael G. Wilson;movie;6.5;James Bond
A View to a Kill;Im Angesicht des Todes;PG;1985;Action, Adventure, Thriller;John Glen;Richard Maibaum, Michael G. Wilson, Ian Fleming;movie;6.3;James Bond
The Living Daylights;Der Hauch des Todes;PG;1987;Action, Adventure, Thriller;John Glen;Richard Maibaum, Michael G. Wilson, Ian Fleming;movie;6.7;James Bond
Licence to Kill;Lizenz zum Töten;PG-13;1989;Action, Adventure, Thriller;John Glen;Michael G. Wilson, Richard Maibaum, Ian Fleming;movie;6.7;James Bond
GoldenEye;GoldenEye;PG-13;1995;Action, Adventure, Thriller;Martin Campbell;Ian Fleming, Michael France, Jeffrey Caine;movie;7.2;James Bond
Tomorrow Never Dies;Der Morgen stirbt nie;PG-13;1997;Action, Adventure, Thriller;Roger Spottiswoode;Bruce Feirstein, Ian Fleming;movie;6.5;James Bond
The World Is Not Enough;Die Welt ist nicht genug;PG-13;1999;Action, Adventure, Thriller;Michael Apted;Neal Purvis, Robert Wade, Bruce Feirstein;movie;6.4;James Bond
